time,open,high,low,close,tick_volume,spread,real_volume
2023-10-26 18:00:00,1979.57,1981.21,1978.58,1980.17,1903,12,0
2023-10-26 18:15:00,1980.19,1980.25,1976.43,1977.07,1656,12,0
2023-10-26 18:30:00,1977.11,1979.79,1976.64,1979.34,1569,12,0
2023-10-26 18:45:00,1979.33,1981.32,1979.09,1980.24,1534,12,0
2023-10-26 19:00:00,1980.19,1983.21,1979.77,1983.15,1521,12,0
2023-10-26 19:15:00,1983.18,1985.84,1982.99,1985.45,1772,12,0
2023-10-26 19:30:00,1985.44,1985.54,1982.27,1982.91,1440,12,0
2023-10-26 19:45:00,1982.91,1984.55,1982.69,1984.23,1400,12,0
2023-10-26 20:00:00,1984.23,1987.18,1984.08,1986.37,1829,12,0
2023-10-26 20:15:00,1986.38,1989.33,1985.9,1986.93,1652,12,0
2023-10-26 20:30:00,1986.95,1987.85,1985.49,1987.58,1589,12,0
2023-10-26 20:45:00,1987.57,1987.73,1986.35,1986.99,1245,12,0
2023-10-26 21:00:00,1986.94,1987.11,1985.13,1985.18,1069,12,0
2023-10-26 21:15:00,1985.2,1985.99,1984.79,1985.47,893,12,0
2023-10-26 21:30:00,1985.48,1986.61,1984.99,1986.6,819,12,0
2023-10-26 21:45:00,1986.6,1987.0,1985.83,1986.0,856,12,0
2023-10-26 22:00:00,1985.98,1986.83,1982.82,1982.91,972,12,0
2023-10-26 22:15:00,1982.91,1984.29,1982.38,1982.55,884,12,0
2023-10-26 22:30:00,1982.56,1983.33,1982.34,1983.13,805,12,0
2023-10-26 22:45:00,1983.19,1984.78,1983.04,1984.4,529,12,0
2023-10-26 23:00:00,1984.38,1985.43,1983.88,1985.1,475,12,0
2023-10-26 23:15:00,1985.1,1985.52,1984.77,1985.46,327,12,0
2023-10-26 23:30:00,1985.46,1985.53,1984.73,1984.77,263,12,0
2023-10-26 23:45:00,1984.74,1985.04,1984.38,1984.84,213,12,0
